product,uf,volume,year_month,unit
GASOLINA C (m3),AMAPÁ,8394.0,2009-01-01,m3
GASOLINA C (m3),TOCANTINS,14567.16,2009-01-01,m3
GASOLINA C (m3),MARANHÃO,36721.2,2009-01-01,m3
GASOLINA C (m3),PIAUÍ,24259.75,2009-01-01,m3
GASOLINA C (m3),CEARÁ,53994.5,2009-01-01,m3
GASOLINA C (m3),RIO GRANDE DO NORTE,28271.928,2009-01-01,m3
GASOLINA C (m3),PARAÍBA,29459.87,2009-01-01,m3
GASOLINA C (m3),PERNAMBUCO,52911.67,2009-01-01,m3
GASOLINA C (m3),ALAGOAS,14622.243,2009-01-01,m3
GASOLINA C (m3),SERGIPE,16827.0783852923,2009-01-01,m3
GASOLINA C (m3),BAHIA,79643.7522430758,2009-01-01,m3
GASOLINA C (m3),MINAS GERAIS,238776.807488573,2009-01-01,m3
GASOLINA C (m3),ESPÍRITO SANTO,511197.594614105,2009-01-01,m3
GASOLINA C (m3),RIO DE JANEIRO,170050.778,2009-01-01,m3
GASOLINA C (m3),SÃO PAULO,551032.466,2009-01-01,m3
GASOLINA C (m3),PARANÁ,141648.652,2009-01-01,m3
GASOLINA C (m3),SANTA CATARINA,116202.875,2009-01-01,m3
GASOLINA C (m3),RIO GRANDE DO SUL,175094.688,2009-01-01,m3
GASOLINA C (m3),MATO GROSSO DO SUL,30379.08,2009-01-01,m3
GASOLINA C (m3),MATO GROSSO,29287.438,2009-01-01,m3
GASOLINA C (m3),GOIÁS,73795.563,2009-01-01,m3
GASOLINA C (m3),DISTRITO FEDERAL,64076.0,2009-01-01,m3
GASOLINA C (m3),RONDÔNIA,23634.94,2010-01-01,m3
GASOLINA C (m3),ACRE,6012.5,2010-01-01,m3
GASOLINA C (m3),AMAZONAS,32799.441,2010-01-01,m3
GASOLINA C (m3),RORAIMA,85768.4,2010-01-01,m3
GASOLINA C (m3),PARÁ,66977.72,2010-01-01,m3
GASOLINA C (m3),AMAPÁ,8506.8,2010-01-01,m3
GASOLINA C (m3),TOCANTINS,17667.29,2010-01-01,m3
GASOLINA C (m3),MARANHÃO,45609.6,2010-01-01,m3
GASOLINA C (m3),PIAUÍ,29498.75,2010-01-01,m3
GASOLINA C (m3),CEARÁ,68996.897,2010-01-01,m3
GASOLINA C (m3),RIO GRANDE DO NORTE,32310.55,2010-01-01,m3
GASOLINA C (m3),PARAÍBA,35198.85,2010-01-01,m3
GASOLINA C (m3),PERNAMBUCO,72063.638,2010-01-01,m3
GASOLINA C (m3),ALAGOAS,22001.41,2010-01-01,m3
GASOLINA C (m3),SERGIPE,18730.0,2010-01-01,m3
GASOLINA C (m3),BAHIA,108191.366,2010-01-01,m3
GASOLINA C (m3),MINAS GERAIS,3677903.756,2010-01-01,m3
GASOLINA C (m3),ESPÍRITO SANTO,66391.05,2010-01-01,m3
GASOLINA C (m3),RIO DE JANEIRO,151231.798,2010-01-01,m3
GASOLINA C (m3),SÃO PAULO,598530.562,2010-01-01,m3
GASOLINA C (m3),PARANÁ,152006.113,2010-01-01,m3
GASOLINA C (m3),SANTA CATARINA,143637.691,2010-01-01,m3
GASOLINA C (m3),RIO GRANDE DO SUL,211339.16,2010-01-01,m3
GASOLINA C (m3),MATO GROSSO DO SUL,35423.81,2010-01-01,m3
GASOLINA C (m3),MATO GROSSO,31924.67,2010-01-01,m3
GASOLINA C (m3),GOIÁS,89270.172,2010-01-01,m3
GASOLINA C (m3),DISTRITO FEDERAL,86663.368,2010-01-01,m3
GASOLINA C (m3),RONDÔNIA,22519.617,2011-01-01,m3
GASOLINA C (m3),ACRE,7931.0,2011-01-01,m3
GASOLINA C (m3),AMAZONAS,521355.097,2011-01-01,m3
GASOLINA C (m3),RORAIMA,8807.6,2011-01-01,m3
GASOLINA C (m3),PARÁ,67818.87,2011-01-01,m3
GASOLINA C (m3),AMAPÁ,9579.7,2011-01-01,m3
GASOLINA C (m3),TOCANTINS,21280.65,2011-01-01,m3
GASOLINA C (m3),MARANHÃO,55803.9,2011-01-01,m3
GASOLINA C (m3),PIAUÍ,31479.5,2011-01-01,m3
GASOLINA C (m3),CEARÁ,76624.377,2011-01-01,m3
GASOLINA C (m3),RIO GRANDE DO NORTE,38472.626,2011-01-01,m3
GASOLINA C (m3),PARAÍBA,40603.52,2011-01-01,m3
GASOLINA C (m3),PERNAMBUCO,90327.33,2011-01-01,m3
GASOLINA C (m3),ALAGOAS,21272.22,2011-01-01,m3
GASOLINA C (m3),SERGIPE,23575.508,2011-01-01,m3
